week,week_start,week_end,metric,metric_name,unit,target_value,lower_is_better,average,maximum,minimum,achieved_days,valid_days,missing_days,achievement_rate
2026-W12,2026-03-16,2026-03-22,sleep_onset,Sleep Onset Time,hours,25.5,True,25.609523809523807,26.03333333333333,25.316666666666663,2,7,0,28.57142857142857
2026-W12,2026-03-16,2026-03-22,wake_time,Wake Time,hours,32.5,True,32.11706349206349,33.155833333333334,31.473333333333333,5,7,0,71.42857142857143
2026-W12,2026-03-16,2026-03-22,awake_count,Awake Count,times,1.0,True,4.0,9.0,1.0,1,7,0,14.285714285714285
2026-W12,2026-03-16,2026-03-22,awake_duration,Awake Duration,minutes,5.0,True,9.038095238095238,16.566666666666666,1.0,2,7,0,28.57142857142857
2026-W12,2026-03-16,2026-03-22,longest_awake_duration,Longest Awake Duration,minutes,5.0,True,5.2333333333333325,10.533333333333331,1.0,3,7,0,42.857142857142854
2026-W12,2026-03-16,2026-03-22,first_morning_awake_time,First Morning Awake Time,hours,31.0,False,30.053333333333335,30.826666666666668,29.357222222222223,0,5,2,0.0
2026-W13,2026-03-23,2026-03-29,sleep_duration,Sleep Duration,hours,6.5,False,6.87654761904762,7.633888888888889,6.095833333333333,5,7,0,71.42857142857143
2026-W13,2026-03-23,2026-03-29,steps,Steps,steps,15000.0,False,16816.571428571428,26394.0,9435.0,4,7,0,57.14285714285714
2026-W13,2026-03-23,2026-03-29,active_energy,Active Energy Burned,kcal,500.0,False,435.2137142857123,614.581999999999,320.67699999999763,1,7,0,14.285714285714285
2026-W13,2026-03-23,2026-03-29,exercise_time,Exercise Time,minutes,30.0,False,47.142857142857146,96.0,27.0,6,7,0,85.71428571428571
2026-W13,2026-03-23,2026-03-29,stand_hours,Stand Hours,hours,12.0,False,13.0,15.0,12.0,7,7,0,100.0
2026-W13,2026-03-23,2026-03-29,sleep_onset,Sleep Onset Time,hours,25.5,True,25.752380952380953,26.166666666666668,25.21666666666667,1,7,0,14.285714285714285
2026-W13,2026-03-23,2026-03-29,wake_time,Wake Time,hours,32.5,True,32.63634920634921,33.49805555555555,32.1875,4,7,0,57.14285714285714
2026-W13,2026-03-23,2026-03-29,awake_count,Awake Count,times,1.0,True,2.142857142857143,4.0,1.0,2,7,0,28.57142857142857
2026-W13,2026-03-23,2026-03-29,awake_duration,Awake Duration,minutes,5.0,True,4.9452380952380945,11.533333333333331,1.5,5,7,0,71.42857142857143
2026-W13,2026-03-23,2026-03-29,longest_awake_duration,Longest Awake Duration,minutes,5.0,True,3.3666666666666663,10.533333333333331,1.0,6,7,0,85.71428571428571
2026-W13,2026-03-23,2026-03-29,first_morning_awake_time,First Morning Awake Time,hours,31.0,False,30.402361111111116,31.4675,29.215833333333332,2,6,1,33.33333333333333
2026-W14,2026-03-30,2026-04-05,sleep_duration,Sleep Duration,hours,6.5,False,6.6889682539682545,7.633888888888888,6.061666666666667,4,7,0,57.14285714285714
2026-W14,2026-03-30,2026-04-05,steps,Steps,steps,15000.0,False,21042.714285714286,30583.0,15268.0,7,7,0,100.0
2026-W14,2026-03-30,2026-04-05,active_energy,Active Energy Burned,kcal,500.0,False,483.5594285714278,739.1019999999982,384.388,2,7,0,28.57142857142857
2026-W14,2026-03-30,2026-04-05,exercise_time,Exercise Time,minutes,30.0,False,52.57142857142857,116.0,29.0,6,7,0,85.71428571428571
2026-W14,2026-03-30,2026-04-05,stand_hours,Stand Hours,hours,12.0,False,13.285714285714286,14.0,12.0,7,7,0,100.0
2026-W14,2026-03-30,2026-04-05,sleep_onset,Sleep Onset Time,hours,25.5,True,25.85238095238095,26.21666666666667,25.35,1,7,0,14.285714285714285
2026-W14,2026-03-30,2026-04-05,wake_time,Wake Time,hours,32.5,True,32.696825396825396,33.13583333333333,32.140277777777776,2,7,0,28.57142857142857
2026-W14,2026-03-30,2026-04-05,awake_count,Awake Count,times,1.0,True,3.142857142857143,4.0,1.0,1,7,0,14.285714285714285
2026-W14,2026-03-30,2026-04-05,awake_duration,Awake Duration,minutes,5.0,True,11.114285714285714,30.116666666666667,2.0166666666666666,2,7,0,28.57142857142857
2026-W14,2026-03-30,2026-04-05,longest_awake_duration,Longest Awake Duration,minutes,5.0,True,7.883333333333332,21.066666666666663,1.5166666666666666,5,7,0,71.42857142857143
2026-W14,2026-03-30,2026-04-05,first_morning_awake_time,First Morning Awake Time,hours,31.0,False,31.175,32.317499999999995,29.559444444444445,6,7,0,85.71428571428571
2026-W15,2026-04-06,2026-04-12,sleep_duration,Sleep Duration,hours,6.5,False,6.33797619047619,7.199166666666667,5.7025,3,7,0,42.857142857142854
2026-W15,2026-04-06,2026-04-12,steps,Steps,steps,15000.0,False,19985.285714285714,27832.0,9476.0,6,7,0,85.71428571428571
2026-W15,2026-04-06,2026-04-12,active_energy,Active Energy Burned,kcal,500.0,False,462.50428571428483,546.4569999999983,336.0799999999982,2,7,0,28.57142857142857
2026-W15,2026-04-06,2026-04-12,exercise_time,Exercise Time,minutes,30.0,False,41.142857142857146,60.0,23.0,5,7,0,71.42857142857143
2026-W15,2026-04-06,2026-04-12,stand_hours,Stand Hours,hours,12.0,False,14.0,15.0,12.0,7,7,0,100.0
2026-W15,2026-04-06,2026-04-12,sleep_onset,Sleep Onset Time,hours,25.5,True,25.666666666666668,26.3,24.366666666666667,2,7,0,28.57142857142857
2026-W15,2026-04-06,2026-04-12,wake_time,Wake Time,hours,32.5,True,32.542896825396824,33.32416666666667,32.018055555555556,4,7,0,57.14285714285714
2026-W15,2026-04-06,2026-04-12,awake_count,Awake Count,times,1.0,True,6.0,16.0,1.0,1,7,0,14.285714285714285
2026-W15,2026-04-06,2026-04-12,awake_duration,Awake Duration,minutes,5.0,True,29.030952380952385,129.91666666666669,0.5,1,7,0,14.285714285714285
2026-W15,2026-04-06,2026-04-12,longest_awake_duration,Longest Awake Duration,minutes,5.0,True,15.838095238095237,66.21666666666667,0.5,2,7,0,28.57142857142857
2026-W15,2026-04-06,2026-04-12,first_morning_awake_time,First Morning Awake Time,hours,31.0,False,30.222023809523815,31.988611111111112,29.068333333333335,3,7,0,42.857142857142854
2026-W16,2026-04-13,2026-04-19,sleep_duration,Sleep Duration,hours,6.5,False,6.8300793650793645,7.358333333333333,6.170555555555556,6,7,0,85.71428571428571
2026-W16,2026-04-13,2026-04-19,steps,Steps,steps,15000.0,False,17195.714285714286,32131.0,10502.0,3,7,0,42.857142857142854
2026-W16,2026-04-13,2026-04-19,active_energy,Active Energy Burned,kcal,500.0,False,422.7668571428557,581.351999999999,335.7799999999993,1,7,0,14.285714285714285
2026-W16,2026-04-13,2026-04-19,exercise_time,Exercise Time,minutes,30.0,False,34.857142857142854,51.0,27.0,4,7,0,57.14285714285714
2026-W16,2026-04-13,2026-04-19,stand_hours,Stand Hours,hours,12.0,False,13.571428571428571,16.0,12.0,7,7,0,100.0
2026-W16,2026-04-13,2026-04-19,sleep_onset,Sleep Onset Time,hours,25.5,True,26.030952380952378,26.46666666666667,25.633333333333333,0,7,0,0.0
2026-W16,2026-04-13,2026-04-19,wake_time,Wake Time,hours,32.5,True,32.95761904761905,33.24583333333333,32.230555555555554,1,7,0,14.285714285714285
2026-W16,2026-04-13,2026-04-19,awake_count,Awake Count,times,1.0,True,3.0,6.0,1.0,2,7,0,28.57142857142857
2026-W16,2026-04-13,2026-04-19,awake_duration,Awake Duration,minutes,5.0,True,6.802380952380952,16.55,1.5,3,7,0,42.857142857142854
2026-W16,2026-04-13,2026-04-19,longest_awake_duration,Longest Awake Duration,minutes,5.0,True,4.297619047619047,12.533333333333331,1.5,6,7,0,85.71428571428571
2026-W16,2026-04-13,2026-04-19,first_morning_awake_time,First Morning Awake Time,hours,31.0,False,30.73472222222222,32.51027777777778,29.008333333333333,3,7,0,42.857142857142854
2026-W17,2026-04-20,2026-04-26,sleep_duration,Sleep Duration,hours,6.5,False,6.813174603174604,8.110277777777778,5.509999999999999,5,7,0,71.42857142857143
2026-W17,2026-04-20,2026-04-26,steps,Steps,steps,15000.0,False,20108.0,24641.0,9580.0,6,7,0,85.71428571428571
2026-W17,2026-04-20,2026-04-26,active_energy,Active Energy Burned,kcal,500.0,False,449.3991428571405,512.553999999999,300.41699999999713,1,7,0,14.285714285714285
2026-W17,2026-04-20,2026-04-26,exercise_time,Exercise Time,minutes,30.0,False,43.142857142857146,60.0,28.0,6,7,0,85.71428571428571
2026-W17,2026-04-20,2026-04-26,stand_hours,Stand Hours,hours,12.0,False,12.714285714285714,15.0,10.0,5,7,0,71.42857142857143
2026-W17,2026-04-20,2026-04-26,sleep_onset,Sleep Onset Time,hours,25.5,True,26.057142857142853,26.95,25.1,1,7,0,14.285714285714285
2026-W17,2026-04-20,2026-04-26,wake_time,Wake Time,hours,32.5,True,32.88043650793651,34.07944444444445,31.789444444444445,2,7,0,28.57142857142857
2026-W17,2026-04-20,2026-04-26,awake_count,Awake Count,times,1.0,True,3.5714285714285716,6.0,1.0,1,7,0,14.285714285714285
2026-W17,2026-04-20,2026-04-26,awake_duration,Awake Duration,minutes,5.0,True,6.535714285714286,10.566666666666666,4.016666666666667,3,7,0,42.857142857142854
2026-W17,2026-04-20,2026-04-26,longest_awake_duration,Longest Awake Duration,minutes,5.0,True,3.2238095238095235,5.516666666666667,2.5,6,7,0,85.71428571428571
2026-W17,2026-04-20,2026-04-26,first_morning_awake_time,First Morning Awake Time,hours,31.0,False,29.79511111111111,30.33416666666667,29.037777777777777,0,5,2,0.0
2026-W18,2026-04-27,2026-05-03,sleep_duration,Sleep Duration,hours,6.5,False,6.90515873015873,8.386388888888888,5.986388888888889,5,7,0,71.42857142857143
2026-W18,2026-04-27,2026-05-03,steps,Steps,steps,15000.0,False,19153.85714285714,33288.0,8160.0,5,7,0,71.42857142857143
2026-W18,2026-04-27,2026-05-03,active_energy,Active Energy Burned,kcal,500.0,False,424.6668571428564,581.7860000000006,293.4400000000001,1,7,0,14.285714285714285
2026-W18,2026-04-27,2026-05-03,exercise_time,Exercise Time,minutes,30.0,False,31.857142857142858,47.0,3.0,5,7,0,71.42857142857143
2026-W18,2026-04-27,2026-05-03,stand_hours,Stand Hours,hours,12.0,False,13.428571428571429,17.0,11.0,6,7,0,85.71428571428571
2026-W18,2026-04-27,2026-05-03,sleep_onset,Sleep Onset Time,hours,25.5,True,26.119047619047624,27.483333333333334,25.53333333333333,0,7,0,0.0
2026-W18,2026-04-27,2026-05-03,wake_time,Wake Time,hours,32.5,True,33.19781746031746,34.14,32.80916666666667,0,7,0,0.0
2026-W18,2026-04-27,2026-05-03,awake_count,Awake Count,times,1.0,True,3.857142857142857,7.0,2.0,0,7,0,0.0
2026-W18,2026-04-27,2026-05-03,awake_duration,Awake Duration,minutes,5.0,True,16.204761904761902,32.11666666666667,4.533333333333333,1,7,0,14.285714285714285
2026-W18,2026-04-27,2026-05-03,longest_awake_duration,Longest Awake Duration,minutes,5.0,True,9.96190476190476,20.066666666666663,2.5,2,7,0,28.57142857142857
2026-W18,2026-04-27,2026-05-03,first_morning_awake_time,First Morning Awake Time,hours,31.0,False,30.697083333333335,32.13722222222222,29.681944444444444,2,6,1,33.33333333333333
2026-W19,2026-05-04,2026-05-10,sleep_duration,Sleep Duration,hours,6.5,False,6.452539682539682,7.625555555555556,4.841111111111111,4,7,0,57.14285714285714
2026-W19,2026-05-04,2026-05-10,steps,Steps,steps,15000.0,False,19563.571428571428,23855.0,13958.0,6,7,0,85.71428571428571
2026-W19,2026-05-04,2026-05-10,active_energy,Active Energy Burned,kcal,500.0,False,418.7969999999977,463.1809999999979,352.4889999999939,0,7,0,0.0
2026-W19,2026-05-04,2026-05-10,exercise_time,Exercise Time,minutes,30.0,False,41.714285714285715,63.0,28.0,5,7,0,71.42857142857143
